[jit-writer v2] ranges: [0x401569d000,0x40156a2000) [0x401000b00,0x401000c00) value=[0x401569d000,0x40156a2000) user_lo=0x0
[JW-V LO32] #555 vpc=0x1b91a5 vaddr=0x3a45a0 w=4 val=0x000000001569d000
[JW-V LO32] #556 vpc=0x1b91a5 vaddr=0x3a45a0 w=4 val=0x000000001569d000
[JW-V LO32] #557 vpc=0x1b91a5 vaddr=0x3a45a0 w=4 val=0x000000001569d000
[JW-V LO32] #558 vpc=0x1b91a5 vaddr=0x3a45a0 w=4 val=0x000000001569d000
[JW-V LO32] #559 vpc=0x1b91a5 vaddr=0x3a45a0 w=4 val=0x000000001569d000
[JW-V LO32] #560 vpc=0x1b91a5 vaddr=0x3a45a0 w=4 val=0x000000001569d000
[JW-V LO32] #561 vpc=0x1b91a5 vaddr=0x3a45a0 w=4 val=0x000000001569d000
[JW-V LO32] #562 vpc=0x1b91a5 vaddr=0x3a45a0 w=4 val=0x000000001569d000
[JW-V LO32] #563 vpc=0x1b91a5 vaddr=0x3a45a0 w=4 val=0x000000001569d000
[JW-V LO32] #564 vpc=0x1b91a5 vaddr=0x3a45a0 w=4 val=0x000000001569d000
[JW-V LO32] #565 vpc=0x1b91a5 vaddr=0x3a45a0 w=4 val=0x000000001569d000
[JW-V LO32] #566 vpc=0x1b91a5 vaddr=0x3a45a0 w=4 val=0x000000001569d000
[JW-V LO32] #567 vpc=0x1b91a5 vaddr=0x3a45a0 w=4 val=0x000000001569d000
[JW-V LO32] #568 vpc=0x1b91a5 vaddr=0x3a45a0 w=4 val=0x000000001569d000
[JW-V LO32] #569 vpc=0x1b91a5 vaddr=0x3a45a0 w=4 val=0x000000001569d000
[JW-V LO32] #570 vpc=0x1b91a5 vaddr=0x3a45a0 w=4 val=0x000000001569d000
[JW-V LO32] #571 vpc=0x1b91a5 vaddr=0x3a45a0 w=4 val=0x000000001569d000
[JW-V LO32] #572 vpc=0x1b91a5 vaddr=0x3a45a0 w=4 val=0x000000001569d000
[JW-V LO32] #573 vpc=0x1b91a5 vaddr=0x3a45a0 w=4 val=0x000000001569d000
[JW-V LO32] #574 vpc=0x1b91a5 vaddr=0x3a45a0 w=4 val=0x000000001569d000
[JW-V LO32] #575 vpc=0x1b91a5 vaddr=0x3a45a0 w=4 val=0x000000001569d000
[JW-V LO32] #576 vpc=0x1b91a5 vaddr=0x3a45a0 w=4 val=0x000000001569d000
[JW-V LO32] #577 vpc=0x1b91a5 vaddr=0x3a45a0 w=4 val=0x000000001569d000
[JW-V LO32] #578 vpc=0x1b91a5 vaddr=0x3a45a0 w=4 val=0x000000001569d000
[JW-V LO32] #579 vpc=0x1b91a5 vaddr=0x3a45a0 w=4 val=0x000000001569d000
[JW-V LO32] #580 vpc=0x1b91a5 vaddr=0x3a45a0 w=4 val=0x000000001569d000
[JW-V LO32] #581 vpc=0x1b91a5 vaddr=0x3a45a0 w=4 val=0x000000001569d000
[JW-V LO32] #582 vpc=0x1b91a5 vaddr=0x3a45a0 w=4 val=0x000000001569d000
[JW-V LO32] #583 vpc=0x1b91a5 vaddr=0x3a45a0 w=4 val=0x000000001569d000
[JW-V LO32] #584 vpc=0x1b91a5 vaddr=0x3a45a0 w=4 val=0x000000001569d000
[JW-V LO32] #585 vpc=0x1b91a5 vaddr=0x3a45a0 w=4 val=0x000000001569d000
[JW-V LO32] #586 vpc=0x1b91a5 vaddr=0x3a45a0 w=4 val=0x000000001569d000
[JW-V LO32] #587 vpc=0x1b91a5 vaddr=0x3a45a0 w=4 val=0x000000001569d000
[JW-V LO32] #588 vpc=0x1b91a5 vaddr=0x3a45a0 w=4 val=0x000000001569d000
[JW-V LO32] #589 vpc=0x1b91a5 vaddr=0x3a45a0 w=4 val=0x000000001569d000
[JW-V LO32] #590 vpc=0x1b91a5 vaddr=0x3a45a0 w=4 val=0x000000001569d000
[JW-V LO32] #591 vpc=0x1b91a5 vaddr=0x3a45a0 w=4 val=0x000000001569d000
[JW-V LO32] #592 vpc=0x1b91a5 vaddr=0x3a45a0 w=4 val=0x000000001569d000
[JW-V LO32] #593 vpc=0x1b91a5 vaddr=0x3a45a0 w=4 val=0x000000001569d000
[JW-V LO32] #594 vpc=0x1b91a5 vaddr=0x3a45a0 w=4 val=0x000000001569d000
[JW-V LO32] #595 vpc=0x1b91a5 vaddr=0x3a45a0 w=4 val=0x000000001569d000
[JW-V LO32] #596 vpc=0x1b91a5 vaddr=0x3a45a0 w=4 val=0x000000001569d000
[JW-V LO32] #597 vpc=0x1b91a5 vaddr=0x3a45a0 w=4 val=0x000000001569d000
[JW-V LO32] #598 vpc=0x1b91a5 vaddr=0x3a45a0 w=4 val=0x000000001569d000
[JW-V LO32] #599 vpc=0x1b91a5 vaddr=0x3a45a0 w=4 val=0x000000001569d000
[JW-V LO32] #600 vpc=0x1b91a5 vaddr=0x3a45a0 w=4 val=0x000000001569d000
[JW-R0] #1 vpc=0x4000251e9d vaddr=0x401569d000 w=8 val=0x0000000000000000
[JW-R0] #2 vpc=0x4000251e9d vaddr=0x401569d010 w=8 val=0xc93103eac107c283
[JW-R0] #3 vpc=0x4000251ea1 vaddr=0x401569d020 w=8 val=0xc0852473d139c1ff
[JW-R0] #4 vpc=0x4000251ea1 vaddr=0x401569d030 w=8 val=0x89e975f80841c095
[JW-R0] #5 vpc=0x4000251ea6 vaddr=0x401569d02b w=8 val=0x41c0950f41f139c7
[JW-R0] #6 vpc=0x4000251ea6 vaddr=0x401569d03b w=8 val=0x07ff830000000080
[JW-R0] #7 vpc=0x4000251eac vaddr=0x401569d00b w=8 val=0x07c28307e083d089
[JW-R0] #8 vpc=0x4000251eac vaddr=0x401569d01b w=8 val=0x39c1ff001f0f09eb
=== EXC-ENTRY#1 vcpu=0 stores=8 vstores=600 ring (newest first) ===
  [ 0] 0x0000004000251e1b <- last user TB before exc
  [ 1] 0x0000004000251e0d
  [ 2] 0x0000004000251e00
  [ 3] 0x0000004007fd1411
  [ 4] 0x0000004007fd1401
  [ 5] 0x0000004007fd13f3
  [ 6] 0x000000400993f770
  [ 7] 0x000000400993f75c
  [ 8] 0x000000400993f943
  [ 9] 0x000000400994018b
  [10] 0x0000004009940180
  [11] 0x000000400993f90f
  [12] 0x000000400993f8d7
  [13] 0x000000400994011b
  [14] 0x0000004009940110
  [15] 0x000000400993f873
  [16] 0x000000400994011b
  [17] 0x0000004009940110
  [18] 0x000000400993f85f
  [19] 0x000000400993f83d
  [20] 0x000000400993f81b
  [21] 0x000000400993f7e1
  [22] 0x000000400993f751
  [23] 0x000000400932eb39
  [24] 0x000000400932eb0f
  [25] 0x000000400932eaef
  [26] 0x000000400932eae5
  [27] 0x00000040001ea03e
  [28] 0x00000040001ea036
  [29] 0x000000000023ebe9
  [30] 0x000000000023eb29
  [31] 0x000000000023eafe
  [32] 0x000000000023ead3
  [33] 0x000000000023eaa8
  [34] 0x000000000023ea66
  [35] 0x000000000023ea58
  [36] 0x000000000023ea41
  [37] 0x000000000021dc1b
  [38] 0x0000000000133f0d
  [39] 0x0000000000133f1d
  [40] 0x0000000000133f68
  [41] 0x0000000000133f8a
  [42] 0x0000000000133f4b
  [43] 0x0000000000133f1f
  [44] 0x0000000000133f2b
  [45] 0x0000000000133e3f
  [46] 0x0000000000142770
  [47] 0x0000000000142724
[JW-R0] #9 vpc=0x4000251e21 vaddr=0x401569e000 w=8 val=0x0000000000000000
[JW-R0] #10 vpc=0x4000251e21 vaddr=0x401569e010 w=8 val=0x0000019008070c1c
[JW-R0] #11 vpc=0x4000251e25 vaddr=0x401569e018 w=8 val=0x0000001c0000001c
[JW-R0] #12 vpc=0x4000251e25 vaddr=0x401569e028 w=8 val=0x000000000000004b
[JW-R0] #13 vpc=0x4000252920 vaddr=0x401569e038 w=2 val=0x0000000000000000
[JW-R0] #14 vpc=0x4000252924 vaddr=0x401569e038 w=2 val=0x0000000000000000
[JW-R0] #15 vpc=0x40092aee44 vaddr=0x401569e020 w=4 val=0x00000000ffffefe0
=== EXC-ENTRY#2 vcpu=0 stores=15 vstores=600 ring (newest first) ===
  [ 0] 0x000000401569d000 <- last user TB before exc
  [ 1] 0x00000040007284ad
  [ 2] 0x00000040007284a0
  [ 3] 0x0000004000728475
  [ 4] 0x0000004000728510
  [ 5] 0x000000400072843f
  [ 6] 0x0000004000728435
  [ 7] 0x00000040007283f0
  [ 8] 0x000000400074f000
  [ 9] 0x000000400074f04d
  [10] 0x000000400074f040
  [11] 0x0000004000479291
  [12] 0x000000400047928b
  [13] 0x0000004000479273
  [14] 0x0000004000479268
  [15] 0x0000004000479258
  [16] 0x0000004000479240
  [17] 0x000000400074f036
  [18] 0x000000400047920e
  [19] 0x0000004000479206
  [20] 0x00000040004791f0
  [21] 0x000000400074f030
  [22] 0x000000400074efd0
  [23] 0x000000400074eef0
  [24] 0x000000400072ab35
  [25] 0x00000040004bfbce
  [26] 0x0000004000150575
  [27] 0x0000004000150568
  [28] 0x000000400015055b
  [29] 0x0000004000150588
  [30] 0x0000004000150550
  [31] 0x000000400015053f
  [32] 0x0000004000150530
  [33] 0x00000040004bfbc0
  [34] 0x000000400072ab28
  [35] 0x000000400072a915
  [36] 0x0000004000728765
  [37] 0x0000004000728755
  [38] 0x0000004000728770
  [39] 0x00000040007286c0
  [40] 0x000000400072a8f9
  [41] 0x000000400072ab11
  [42] 0x0000004000729d90
  [43] 0x0000004000729d71
  [44] 0x0000004000729f66
  [45] 0x0000004000471b61
  [46] 0x0000004000471b44
  [47] 0x00000040004bf9a3

ATEXIT: range-stores=15 value-stores=600 exc=2
